Damaliscus pygargus
Dasycercus blythi
Dasycercus cristicauda
Dasykaluta rosamondae
Dasymys incomtus
Dasymys rufulus
Dasyprocta fuliginosa
Dasyprocta leporina
Dasypterus ega
Dasypterus insularis
Dasypterus intermedius
Dasypterus xanthinus
Dasypus beniensis
Dasypus hybridus
Dasypus kappleri
Dasypus novemcinctus
Dasypus pastasae
Dasypus pilosus
Dasypus sabanicola
Dasypus septemcinctus
Dasypus yepesi
Dasyuroides byrnei
Dasyurus albopunctatus
Dasyurus geoffroii
Dasyurus hallucatus
Dasyurus maculatus
Dasyurus spartacus
Dasyurus viverrinus
Daubentonia madagascariensis
Delanymys brooksi
Delomys altimontanus
Delomys collinus
Delomys dorsalis
Delomys sublineatus
Delphinapterus leucas
Delphinus capensis
Delphinus delphis
Delphinus tropicalis
Deltamys kempi
Dendrogale melanura
Dendrohyrax dorsalis
Dendrolagus bennettianus
Dendrolagus dorianus
Dendrolagus goodfellowi
Dendrolagus inustus
Dendrolagus lumholtzi
Dendrolagus matschiei
Dendrolagus mbaiso
Dendrolagus scottae
Dendrolagus spadix
Dendrolagus ursinus
Dendromus insignis
Dendromus lovati
Dendromus melanotis
Dendromus mesomelas
Dendromus mystacalis
Dendromus nikolausi
Dendromus nyasae
Deomys ferrugineus
Dephomys defua
Dermanura bogotensis
Dermanura incomitata
Dermanura rava
Desmalopex leucopterus
Desmana moschata
Desmodilliscus braueri
Desmodillus auricularis
Desmodus rotundus
Desmomys harringtoni
Diaemus youngi
Dicerorhinus sumatrensis
Diceros bicornis
Diclidurus albus
Diclidurus ingens
Diclidurus isabellus
Diclidurus scutatus
Dicrostonyx groenlandicus
Dicrostonyx hudsonius
Dicrostonyx richardsoni
Dicrostonyx torquatus
Didelphis albiventris
Didelphis aurita
Didelphis marsupialis
Didelphis virginiana
Dinaromys bogdanovi
Diphylla ecaudata
Diplogale hosei
Diplomesodon pulchellum
Diplomys labilis
Diplothrix legata
Dipodillus campestris
Dipodillus dasyurus
Dipodillus rupicola
Dipodillus simoni
Dipodomys agilis
Dipodomys californicus
Dipodomys compactus
Dipodomys deserti
Dipodomys elator
Dipodomys elephantinus
Dipodomys gravipes
Dipodomys heermanni
Dipodomys ingens
Dipodomys insularis
Dipodomys merriami
Dipodomys microps
Dipodomys nelsoni
Dipodomys nitratoides
Dipodomys ordii
Dipodomys panamintinus
Dipodomys phillipsii
Dipodomys simulans
Dipodomys spectabilis
Dipodomys stephensi
Dipodomys venustus
Dipus sagitta
Dobsonia inermis
Dobsonia minor
Dobsonia moluccensis
Dobsonia praedatrix
Dolichotis patagonum
Dolichotis salinicola
Dorcatragus megalotis
Dorcopsis hageni
Dorcopsulus vanheurni
Doryrhina camerunensis
Dremomys everetti
Dremomys gularis
Dremomys lokriah
Dremomys pernyi
Dremomys pyrrhomerus
Dremomys rufigenis
Dromiciops gliroides
Drymoreomys albimaculatus
Dryomys nitedula
Dugong dugon
Dusicyon australis
Dyacopterus spadiceus
Dymecodon pilirostris
Echimys chrysurus
Echimys saturnus
Echinops telfairi
Echinosorex gymnura
Echiothrix centrosa
Ectophylla alba
Eidolon dupreanum
Eidolon helvum
Eira barbara
Elaphodus cephalophus
Elaphurus davidianus
Elasmotherium sibiricum
Elephantulus edwardii
Elephantulus rufescens
Elephantulus rupestris
Elephas antiquus
Elephas cypriotes
Elephas maximus
Eligmodontia bolsonensis
Eligmodontia hirtipes
Eligmodontia moreni
Eligmodontia morgani
Eligmodontia puerulus
Eligmodontia typus
Eliomys melanurus
Eliomys quercinus
Eliurus antsingy
Eliurus carletoni
Eliurus ellermani
Eliurus grandidieri
Eliurus majori
Eliurus minor
Eliurus myoxinus
Eliurus tanala
Eliurus tsingimbato
Eliurus webbi
Ellobius alaicus
Ellobius fuscocapillus
Ellobius talpinus
Ellobius tancrei
Emballonura alecto
Emballonura atrata
Emballonura beccarii
Emballonura dianae
Emballonura monticola
Emballonura raffrayana
Emballonura semicaudata
Emballonura serii
Emballonura tiavato
Enhydra lutris
Eoglaucomys fimbriatus
Eolagurus luteus
Eolagurus przewalskii
Eonycteris major
Eonycteris robusta
Eonycteris spelaea
Eospalax fontanierii
Eospalax rothschildi
Eospalax rufescens
Eospalax smithii
Eothenomys cachinus
Eothenomys chinensis
Eothenomys colurnus
Eothenomys custos
Eothenomys eleusis
Eothenomys eva
Eothenomys inez
Eothenomys melanogaster
Eothenomys miletus
Eothenomys olitor
Eothenomys proditor
Eothenomys wardi
Eozapus setchuanus
Episoriculus caudatus
Episoriculus fumidus
Episoriculus leucops
Episoriculus macrurus
Episoriculus umbrinus
Epomophorus anselli
Epomophorus crypturus
Epomophorus gambianus
Epomophorus labiatus
Epomophorus minimus
Epomophorus minor
Epomophorus wahlbergi
Epomops buettikoferi
Epomops dobsonii
Epomops franqueti
Eptesicus bobrinskoi
Eptesicus bottae
Eptesicus diminutus
Eptesicus furinalis
Eptesicus fuscus
Eptesicus gobiensis
Eptesicus guadeloupensis
Eptesicus hottentotus
Eptesicus isabellinus
Eptesicus japonensis
Eptesicus montanus
Eptesicus nasutus
Eptesicus nilssonii
Eptesicus regulus
Eptesicus serotinus
Equus asinus
Equus burchellii
Equus caballus
Equus capensis
Equus grevyi
Equus hemionus
Equus hydruntinus
Equus kiang
Equus lambei
Equus ovodovi
Equus przewalskii
Equus zebra
Eremitalpa granti
Eremodipus lichtensteini
Eremoryzomys polius
Erethizon dorsatum
Erignathus barbatus
Erinaceus amurensis
Erinaceus concolor
Erinaceus europaeus
Erinaceus roumanicus
Erophylla bombifrons
Erophylla sezekorni
Erythrocebus patas
Eschrichtius robustus
Eubalaena australis
Eubalaena glacialis
Eubalaena japonica
Euchoreutes naso
Euderma maculatum
Eudorcas rufifrons
Eudorcas thomsonii
Eulemur albifrons
Eulemur cinereiceps
Eulemur coronatus
Eulemur flavifrons
Eulemur fulvus
Eulemur macaco
Eulemur mongoz
Eulemur rubriventer
Eulemur rufifrons
Eulemur rufus
Eulemur sanfordi
Eumetopias jubatus
Eumops auripendulus
Eumops bonariensis
Eumops chimaera
Eumops dabbenei
Eumops ferox
Eumops glaucinus
Eumops hansae
Eumops maurus
Eumops patagonicus
Eumops perotis
Eumops underwoodi
Eumops wilsoni
Euneomys chinchilloides
Euneomys mordax
Euoticus elegantulus
Eupetaurus cinereus
Eupleres goudotii
Euroscaptor klossi
Euroscaptor kuznetsovi
Euroscaptor longirostris
Euroscaptor malayana
Euroscaptor mizura
Euroscaptor parvidens
Euroscaptor subanura
Euryoryzomys lamia
Euryoryzomys macconnelli
Euryoryzomys nitidus
Euryoryzomys russatus
Euryzygomatomys spinosus
Exilisciurus exilis
Felis catus
Felis chaus
Felis margarita
Felis nigripes
