species	Family	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Hylobates_moloch	Hylobatidae	662	662	662	-6.88899	-6.88899	-6.88899	233	233	233	1	5370.714286	39746.7368	6.5	2.79697
Hylobates_muelleri	Hylobatidae	553.052631578947	3	3886	3.68724	1.52961	6.08333	243.842105263158	101	272	1	5475	532195.8546	6	6.2484
Hylomys_suillus	Erinaceidae	1241	23	3886	10.3702746153846	-6.75	23.66667	200.692307692308	101	272	2.36	1202.925238	1717467.989	0.0658	0.566171
Hylomyscus_aeta	Muridae	877.037037037037	143	3384	-0.347694074074074	-4.8333	4.2	229	102	256	4.18	624.3996409	2653113.811	0.0251	0.506333
Hylomyscus_alleni	Muridae	331.915492957746	8	1323	5.86847873239437	-3	8.56667	251.422535211268	218	270	3	624.3996409	1530971.926	0.0187	0.379659
Hylomyscus_stella	Muridae	970.139534883721	106	2308	0.484024186046512	-2.4667	4.46667	226	153	256	3.055	624.3996409	1343493.5	0.0202	0.385839
Indri_indri	Indriidae	868.133333333333	397	1205	-17.828246	-18.99766	-15.22608	200.733333333333	183	225	1.005	4015	30388.20059	8	2.754921
Isthmomys_pirrensis	Cricetidae	893.8	433	1354	7.923124	7.66667	8.08333	219.7	197	243	2.915	766.22453	5273.984656	0.138	0.352018
Jaculus_blanfordi	Dipodidae	1011.07692307692	486	1759	31.1603776923077	26.9834	34.8769	200.769230769231	160	251	4.19	919.8561	1312739.647	0.0547	0.428479
Jaculus_jaculus	Dipodidae	191.16091954023	-236	1578	29.3963563428571	15	34.4407	212.697142857143	132	290	3.24	919.8561	8179876.274	0.0566	0.64817
Jaculus_orientalis	Dipodidae	203.413793103448	8	608	31.3941134482759	30.64109	36.8	191.103448275862	181	199	2.5	919.8561	436252.3061	0.138	0.563043
Kerivoula_hardwickii	Vespertilionidae	523.941176470588	52	1428	6.03803294117647	-8.55833	25.5	237.882352941176	197	272	1	1825	4094400.702	0.0046	0.194505
Kerivoula_intermedia	Vespertilionidae	102	102	102	3.596	3.596	3.596	251	251	251	NA	1825	883051.5585	0.0036	0.119304
Kerivoula_minuta	Vespertilionidae	382	102	640	4.505355	3.25833	6.20042	244.75	221	256	NA	1825	145376.969	0.0021	0.057151
Kerivoula_papillosa	Vespertilionidae	408.5	102	1132	5.26947166666667	3.2125	12.66666	244.666666666667	231	259	0.98	1825	800353.3714	0.0098	0.222315
Kerivoula_pellucida	Vespertilionidae	282.833333333333	39	800	5.58346333333333	3.2	9.4875	260.166666666667	246	272	NA	1825	1229582.585	0.0041	0.139316
Kerivoula_whiteheadi	Vespertilionidae	711.692307692308	34	1530	12.2804584615385	6.45	16.45672	234.153846153846	206	267	NA	1825	217296.5965	0.0039	0.092792
Kobus_ellipsiprymnus	Bovidae	972.220183486239	31	4123	-8.99613513052613	-28.08333	12.83333	216.654545454545	95	278	1.05	3821.3904	9061556.367	210.0003	61.984916
Kobus_leche	Bovidae	959.722222222222	927	1012	-18.6900294444444	-19.60009	-15.66667	222	213	229	1	2660.837833	203547.8621	110.749	19.181135
Laephotis_botswanae	Vespertilionidae	1341	965	1717	-15.519085	-15.9715	-15.06667	190.5	182	199	NA	2055.239876	334481.8384	0.0072	0.151041
Lagidium_peruanum	Chinchillidae	4031.84848484848	2018	5100	-14.9773445454545	-17.25199	-10.6	58.2121212121212	-6	173	1	2388.1518	NA	1.22	1.841889
Lagorchestes_conspicillatus	Macropodidae	256.167597765363	3	577	-17.4500329389213	-23.3167	-12.4001	261.787709497207	217	278	1	1100.21785	1904235.747	3.05	4.27673
Lagothrix_lagotricha	Atelidae	246.714285714286	131	543	0.323792857142857	-3.38333	2.3851	260.571428571429	231	276	1	5475	663456.8988	6.7889	14.388946
Lagurus_lagurus	Cricetidae	260	254	266	51.41542	49.11417	53.71667	32	13	51	4.5	440.925	4703941.514	0.0203	0.326514
Lama_glama	Camelidae	535.783505154639	14	2891	-48.5296257056861	-54.86764	-19.917	66.1649484536082	3	243	1	4064.145	NA	142.5	33.113575
Lasiurus_cinereus	Vespertilionidae	986.494535519126	3	3633	31.0492459474744	-37.7	51.25378	128.546448087432	-18	256	2	2051.666208	21230182.78	0.0253	0.830074
