species	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Bandicota_bengalensis	4020264.31	0.1885	1.765021
Bandicota_indica	5429572.589	0.72	4.069034
Bandicota_savilei	876358.1485	0.199	1.310475
Barbastella_barbastellus	3798951.236	0.008	0.273133
Barbastella_beijingensis	NA	NA	NA
Barbastella_leucomelas	3946820.448	0.0151	0.41426
Bassaricyon_alleni	4507624.783	1.235	5.330177
Bassaricyon_gabbii	158948.4791	1.25	2.606608
Bassaricyon_medius	750712.6476	NA	NA
Bassaricyon_neblina	488048.6623	NA	NA
Bassariscus_astutus	3976493.425	1.1295	8.625137
Bassariscus_sumichrasti	629164.3689	0.9	2.904603
Bathyergus_janetta	12118.95599	0.332	0.42172
Bathyergus_suillus	39424.81907	0.625	0.450787
Batomys_dentatus	458.9858935	0.196	0.155474
Batomys_granti	6651.882293	0.1778	0.193096
Batomys_russatus	836.8340103	0.115	0.131861
Batomys_salomonseni	16220.05399	0.187	0.327113
Batomys_uragon	NA	NA	NA
Bauerus_dubiaquercus	257297.3593	0.0229	0.300236
Bdeogale_crassicauda	1515844.945	1.55	6.611137
Bdeogale_jacksoni	64816.97121	2.5	4.551031
Bdeogale_nigripes	2138875.083	2.5	9.682751
Bdeogale_omnivora	28875.85781	1.75	3.038969
Beamys_hindei	341627.6047	0.0758	0.383643
Beatragus_hunteri	10721.14935	80	8.48842
Belomys_pearsonii	530386.0652	0.217	1.235817
Berardius_arnuxii	105669441.3	7000	3692.304666
Berardius_bairdii	23093284.44	11380	3633.510047
Berylmys_berdmorei	668253.6056	0.235	1.359928
Berylmys_bowersi	2581942.245	0.3	2.095223
Berylmys_mackenziei	102367.8899	0.256	0.952683
Berylmys_manipulus	215907.9606	0.116	0.710098
Bettongia_gaimardi	29129.50224	1.66	2.623617
Bettongia_lesueur	330.9413093	1.5	0.445688
Bettongia_penicillata	4081.423782	1.3	0.708445
Bettongia_pusilla	NA	NA	NA
Bettongia_tropica	401.1671793	1.2	1.3
Bibimys_chacoensis	28166.3799	0.028	0.129142
Bibimys_labiosus	364856.876	0.029	0.228919
Bibimys_torresi	4403.441383	0.028	0.086505
Bison_bison	194361.1682	579.2553	68.261684
Bison_bonasus	NA	500	40.206026
Biswamoyopterus_biswasi	3789.667529	1.6133	0.785473
Biswamoyopterus_laoensis	NA	NA	NA
Blanfordimys_afghanus	411860.2223	0.0308	0.380923
Blanfordimys_bucharensis	116525.5204	0.02	0.226279
Blanfordimys_juldaschi	313020.3057	0.0446	0.28089
Blarina_brevicauda	4108299.768	0.028	0.751774
Blarina_carolinensis	870943.5593	0.0135	0.60087
Blarina_hylophaga	730624.8288	0.0145	0.279588
