Source	ID	MasterTax_Order	MasterTax_Family	MasterTax_SciName	matched_name	matching_source	NCBI_SciName	NCBI_Rank	NCBI_ID
IUCN	14830	CHIROPTERA	NOCTILIONIDAE	Noctilio_leporinus	Noctilio_leporinus	IUCN	Noctilio_leporinus	Species	94963
IUCN	39775	PRIMATES	HYLOBATIDAE	Nomascus_concolor	Nomascus_concolor	IUCN	Nomascus_concolor	Species	29089
IUCN	39775	PRIMATES	HYLOBATIDAE	Nomascus_concolor	Nomascus_concolor	MSW3	Nomascus_concolor_concolor	Subspecies	716684
IUCN	39775	PRIMATES	HYLOBATIDAE	Nomascus_concolor	Nomascus_concolor	MSW3	Nomascus_concolor_furvogaster	Subspecies	423450
IUCN	39775	PRIMATES	HYLOBATIDAE	Nomascus_concolor	Nomascus_concolor	MSW3	Nomascus_concolor_jingdongensis	Subspecies	423449
IUCN	39775	PRIMATES	HYLOBATIDAE	Nomascus_concolor	Nomascus_concolor	MSW3	Nomascus_concolor_lu	Subspecies	716685
IUCN	39776	PRIMATES	HYLOBATIDAE	Nomascus_gabriellae	Nomascus_gabriellae	IUCN	Nomascus_gabriellae	Species	61852
IUCN	41643	PRIMATES	HYLOBATIDAE	Nomascus_hainanus	Nomascus_hainanus	IUCN	Nomascus_hainanus	Species	693984
IUCN	39895	PRIMATES	HYLOBATIDAE	Nomascus_leucogenys	Nomascus_leucogenys	IUCN	Nomascus_leucogenys	Species	61853
IUCN	41642	PRIMATES	HYLOBATIDAE	Nomascus_nasutus	Nomascus_nasutus	IUCN	Nomascus_nasutus	Species	327374
IUCN	39896	PRIMATES	HYLOBATIDAE	Nomascus_siki	Nomascus_siki	IUCN	Nomascus_siki	Species	9586
