species frame Nind size S EstPi_ferretti EstTheta_ferretti
Apomys_zambalensis 2 25 379 1 0.000211081794195251 0.000698768975510868
Apomys_zambalensis 3 25 379 27 0.0222515391380827 0.0188667623387934
Archboldomys_luzonensis 1 6 380 0 0 0
Archboldomys_luzonensis 2 6 379 0 0 0
Archboldomys_luzonensis 3 6 379 0 0 0
Arctictis_binturong 1 5 378 4 0.00529100529100529 0.00549639299209892
Arctictis_binturong 2 5 378 1 0.00132275132275132 0.00137409824802473
Arctictis_binturong 3 5 378 30 0.0374779541446208 0.0412702052046313
Arctocebus_calabarensis 1 5 378 5 0.00582010582010582 0.00634920634920632
Arctocebus_calabarensis 2 5 378 2 0.00317460317460317 0.00253968253968253
Arctocebus_calabarensis 3 5 378 12 0.017989417989418 0.0152380952380952
Arctocephalus_australis 1 29 138 1 0.00072463768115942 0.00186874028590421
Arctocephalus_australis 2 29 138 0 0 0
Arctocephalus_australis 3 29 138 20 0.0195229054417881 0.0373944989349544
Arctocephalus_forsteri 1 328 378 10 0.0064922421806725 0.00491027721897138
Arctocephalus_forsteri 2 328 378 7 0.00298369646500253 0.0034403807366596
Arctocephalus_forsteri 3 328 378 53 0.0418355225653553 0.0260489940186152
Arctocephalus_gazella 1 8 128 1 0.00418526785714286 0.00310421286031043
Arctocephalus_gazella 2 8 127 0 0 0
Arctocephalus_gazella 3 8 127 9 0.0205286839145107 0.0281646064778595
Arctocephalus_pusillus 1 15 130 1 0.00170940170940171 0.00242152263510153
Arctocephalus_pusillus 2 15 130 3 0.00376068376068376 0.00728017590081573
Arctocephalus_pusillus 3 15 130 8 0.0137353245045553 0.0194707839464505
Arctocephalus_tropicalis 1 8 131 3 0.0114503816793893 0.00919842312746388
Arctocephalus_tropicalis 2 8 130 1 0.00412087912087912 0.0030755711775044
Arctocephalus_tropicalis 3 8 130 20 0.0777472527472527 0.0617011899515206
Arctogalidia_trivirgata 1 19 378 22 0.0221868376980422 0.017435009550351
Arctogalidia_trivirgata 2 19 378 11 0.00786919706154067 0.00871885034266372
Arctogalidia_trivirgata 3 19 378 74 0.0763401884470487 0.0588092999341712
Ardops_nichollsi 1 58 378 12 0.00242952775628883 0.00689129400129703
Ardops_nichollsi 2 58 378 5 0.000901549119555822 0.00287140248187179
Ardops_nichollsi 3 58 378 36 0.0166765539680586 0.0206759030885304
Ariteus_flavescens 1 6 378 4 0.00352733686067019 0.00463875681317402
Ariteus_flavescens 2 6 378 0 0 0
Ariteus_flavescens 3 6 378 20 0.0199294532627866 0.0231991648300659
Artibeus_amplus 1 6 378 5 0.00440917107583774 0.00579844601646752
Artibeus_amplus 2 6 378 1 0.000881834215167549 0.0011596892032935
Artibeus_amplus 3 6 378 15 0.0148148148148148 0.0173953380494026
Artibeus_concolor 1 8 378 6 0.00444066515495087 0.00614085962287322
Artibeus_concolor 2 8 378 3 0.00292894935752079 0.00307042981143661
Artibeus_concolor 3 8 378 61 0.0565003779289494 0.062480642462937
Artibeus_fimbriatus 1 52 378 25 0.00672217119860007 0.0147294453230845
Artibeus_fimbriatus 2 52 378 9 0.00125072608906568 0.00530298066115157
Artibeus_fimbriatus 3 52 378 127 0.0449086244040685 0.0748391515170782
Artibeus_fraterculus 1 12 378 18 0.00937950937950938 0.0157735617578759
Artibeus_fraterculus 2 12 378 7 0.0041686708353375 0.00613416290584061
Artibeus_fraterculus 3 12 378 93 0.0490219656886323 0.0815032286591804
Artibeus_hirsutus 1 11 379 8 0.00575677620532502 0.00722784527391777
Artibeus_hirsutus 2 11 379 1 0.000479731350443751 0.000903480659239722
Artibeus_hirsutus 3 11 379 29 0.0196210122331494 0.0262009391179519
Artibeus_jamaicensis 1 237 380 64 0.00679330140983337 0.0289261672796435
Artibeus_jamaicensis 2 237 380 65 0.00335012372930487 0.0293785349306957
Artibeus_jamaicensis 3 237 379 210 0.0710184535243934 0.0949751945743669
Artibeus_lituratus 1 163 378 40 0.00673864826570552 0.0188933873329999
Artibeus_lituratus 2 163 378 25 0.00123669546314346 0.0118086227043076
Artibeus_lituratus 3 163 378 191 0.0379182832489555 0.0902236016209932
Artibeus_obscurus 1 78 378 42 0.00675302409638249 0.0226276298565989
Artibeus_obscurus 2 78 378 27 0.00414246479409387 0.0145466414971948
Artibeus_obscurus 3 78 378 210 0.0748931375457588 0.113154877016509
Artibeus_planirostris 1 222 379 49 0.00429917961293412 0.0223424614332595
Artibeus_planirostris 2 222 379 31 0.00141433164556011 0.0141356440795007
Artibeus_planirostris 3 222 379 203 0.0433799807736093 0.0925738099317784
Arvicanthis_abyssinicus 1 5 380 17 0.025 0.0220040988027181
Arvicanthis_abyssinicus 2 5 380 8 0.0110526315789474 0.0103615758229897
Arvicanthis_abyssinicus 3 5 380 120 0.187017543859649 0.155490767735665
Arvicanthis_nairobae 1 15 380 39 0.0265596684017737 0.0326145838107599
Arvicanthis_nairobae 2 15 380 18 0.0104465709728868 0.0150558281298515
Arvicanthis_nairobae 3 15 379 174 0.150129114509062 0.145945179242311
Arvicanthis_neumanni 1 14 380 42 0.0224455369192211 0.0350040046021471
Arvicanthis_neumanni 2 14 380 18 0.00807788702525545 0.0150070850826865
Arvicanthis_neumanni 3 14 379 122 0.0647430845320028 0.101947958792998
Arvicanthis_niloticus 1 162 380 65 0.0218639607831746 0.0305173424887185
Arvicanthis_niloticus 2 162 380 30 0.00603732095429207 0.0140857558952812
Arvicanthis_niloticus 3 162 380 229 0.123995460945673 0.10753682881262
Arvicola_amphibius 1 89 380 42 0.0116818740654417 0.0226026074138599
Arvicola_amphibius 2 89 380 9 0.000787847403527585 0.0048433815783295
Arvicola_amphibius 3 89 380 129 0.0526318768220318 0.0695457077712131
