species	check
Handleyomys_rostratus	inFrame1
Handleyomys_saturatior	inFrame1
Hapalemur_griseus	inFrame1
Haplonycteris_fischeri	inFrame1
Heimyscus_fumosus	inFrame1
Heliophobius_argenteocinereus	inFrame1
Hemiechinus_auritus	inFrame1
Herpestes_brachyurus	inFrame1
Herpestes_edwardsii	inFrame1
Herpestes_ichneumon	inFrame1
Herpestes_javanicus	inFrame1
Herpestes_sanguineus	inFrame1
Herpestes_semitorquatus	inFrame1
Herpestes_urva	inFrame1
Heterocephalus_glaber	inFrame1
Heterohyrax_brucei	inFrame1
Heteromys_anomalus	inFrame1
Heteromys_desmarestianus	inFrame1
Heteromys_gaumeri	inFrame1
Heteromys_nelsoni	inFrame1
Heteromys_nubicolens	inFrame1
Heteromys_oresterus	inFrame1
Hippopotamus_amphibius	inFrame1
Hipposideros_alongensis	inFrame1
Hipposideros_armiger	inFrame1
Hipposideros_beatus	inFrame1
Hipposideros_bicolor	inFrame1
Hipposideros_caffer	inFrame1
Hipposideros_cervinus	inFrame1
Hipposideros_cineraceus	inFrame1
Hipposideros_diadema	inFrame1
Hipposideros_galeritus	inFrame1
Hipposideros_gigas	inFrame1
Hipposideros_griffini	inFrame1
Hipposideros_larvatus	inFrame1
Hipposideros_pomona	inFrame1
Hipposideros_pratti	inFrame1
Hipposideros_ridleyi	inFrame1
Hipposideros_ruber	inFrame1
Hipposideros_turpis	inFrame1
Hippotragus_niger	inFrame1
Holochilus_brasiliensis	inFrame1
Holochilus_chacarius	inFrame1
Holochilus_sciureus	inFrame1
Hoolock_hoolock	inFrame1
Hoolock_leuconedys	inFrame1
Hsunycteris_pattoni	inFrame1
Hsunycteris_thomasi	inFrame1
Hyaena_brunnea	inFrame1
Hyaena_hyaena	inFrame1
Hybomys_univittatus	inFrame1
Hydromys_chrysogaster	inFrame1
Hydropotes_inermis	inFrame1
Hylaeamys_megacephalus	inFrame1
Hylaeamys_yunganus	inFrame1
Hylobates_agilis	inFrame1
Hylobates_klossii	inFrame1
Hylobates_lar	inFrame1
Hylobates_moloch	inFrame1
Hylobates_muelleri	inFrame1
Hylobates_pileatus	inFrame1
Hylomys_suillus	inFrame1
Hylomyscus_aeta	inFrame1
Hylomyscus_alleni	inFrame1
Hylomyscus_arcimontensis	inFrame1
Hylomyscus_denniae	inFrame1
Hylomyscus_endorobae	inFrame1
Hylomyscus_grandis	inFrame1
Hylomyscus_pamfi	inFrame1
Hylomyscus_parvus	inFrame1
Hylomyscus_stella	inFrame1
Hylomyscus_vulcanorum	inFrame1
Hylomyscus_walterverheyeni	inFrame1
Hypsignathus_monstrosus	inFrame1
Hystrix_brachyura	inFrame1
Ia_io	inFrame1
Ictidomys_parvidens	inFrame1
Ictidomys_tridecemlineatus	inFrame1
Indri_indri	inFrame1
Inia_araguaiaensis	inFrame1
Inia_geoffrensis	inFrame1
Isothrix_bistriata	inFrame1
Isthmomys_pirrensis	inFrame1
Jaculus_blanfordi	inFrame1
Jaculus_jaculus	inFrame1
Jaculus_orientalis	inFrame1
Juscelinomys_huanchacae	inFrame1
Kerivoula_hardwickii	inFrame1
Kerivoula_intermedia	inFrame1
Kerivoula_minuta	inFrame1
Kerivoula_papillosa	inFrame1
Kerivoula_pellucida	inFrame1
Kerivoula_titania	inFrame1
Kerivoula_whiteheadi	inFrame1
Kobus_ellipsiprymnus	inFrame1
Kobus_leche	inFrame1
Kogia_sima	inFrame1
Laephotis_botswanae	inFrame1
Laephotis_namibensis	inFrame1
Lagenorhynchus_acutus	inFrame1
Lagenorhynchus_albirostris	inFrame1
Lagenorhynchus_obliquidens	inFrame1
Lagenorhynchus_obscurus	inFrame1
Lagidium_peruanum	inFrame1
Lagorchestes_conspicillatus	inFrame1
Lagothrix_lagotricha	inFrame1
Lagurus_lagurus	inFrame1
Lama_glama	inFrame1
Lama_guanicoe	inFrame1
Lasiopodomys_brandtii	inFrame1
Lasiurus_blossevillii	inFrame1
Lasiurus_borealis	inFrame1
Lasiurus_cinereus	inFrame1
Lasiurus_ega	inFrame1
Lasiurus_xanthinus	inFrame1
Lemmus_lemmus	notInFrame123
Lemmus_sibiricus	notInFrame123
Lemmus_trimucronatus	inFrame1
Lemniscomys_striatus	inFrame1
Lemniscomys_zebra	inFrame1
Lemur_catta	inFrame1
Leontocebus_nigricollis	inFrame1
Leopardus_pardalis	inFrame1
Leopoldamys_edwardsi	inFrame1
